0	doc_label,doc_content	0.19632807478743775	0.017518895853334274	0.02951226901223833	0.01530521337910362	0.03199889745664857	0.2540513227813935	0.018826379225888437	0.015925803962634995	0.11850327615101414	0.016335707248408275	0.04331741745333689	0.04089860169707083	0.013457365049577348	0.15255003010697543	0.017117888617814735	0.018352857217122754
1	Pilot-(The-Office),look	0.3465175550007853	2.1017135584006425E-4	3.540539109397314E-4	0.027107870949586922	0.0015545054497690008	0.15874025397022773	2.258570220743177E-4	0.0013616791506425056	0.004933524189309937	1.959768337997678E-4	0.18430699008668838	0.06721598592926172	1.6144582867453147E-4	0.20668859353017305	2.053605369907258E-4	2.2017625523629503E-4
2	Diversity-Day,uh	0.24552109202764227	1.9855002567545645E-4	3.344766598978132E-4	1.7346130343088922E-4	3.626588093675246E-4	0.24506940624124807	0.00684871414342556	1.8049475333125204E-4	2.371633426929984E-4	0.003502813274989917	0.09117399604895898	0.005992978233543922	0.002364300682301216	0.20963642366453697	0.18819546908027726	2.0800170867984094E-4
3	Health-Care,ding	0.24059846889382117	0.004881222684072279	3.5322692203956183E-4	0.0025189564053112886	0.0015508744808332246	0.23895357671655665	2.2532947176486038E-4	0.002526384139911316	2.5045836557222007E-4	1.9551907677114856E-4	0.10329238749482444	0.2831178133897278	1.6106872817043549E-4	0.11277497147421932	0.004876423102194672	0.0037233186542095687
4	The-Alliance,come	0.27954234699152947	0.17339527220270257	0.0014277362587692458	0.0034605185455831022	3.594784575442327E-4	0.262651730190733	2.1149721719111942E-4	1.7891189693007215E-4	2.3508352869187953E-4	1.8351678686766203E-4	0.1364145396781757	0.03553762832227162	1.511812348280329E-4	0.10585207717743765	1.923038818785137E-4	2.0617762886608582E-4
5	Basketball,ready	0.4035082049591112	0.0015254331009560882	3.9114208506672464E-4	2.0284828221819192E-4	0.0017173444045749727	0.1119997173970494	2.4951620024936784E-4	2.110733053336486E-4	0.01062330790204837	0.00150975166155995	0.12084595799002137	0.12081390011477276	0.04026897401277721	0.17790324146289335	0.007986346764759653	2.4324035660763406E-4
6	Hot-Girl,listening	0.3223300515858231	1.9616373297827555E-4	3.3045671979366914E-4	1.713765419698295E-4	3.583001593728043E-4	0.13504924464728005	0.008951601622394596	0.020937719879836614	2.3431297210864814E-4	0.002368114668354263	0.1195784046253366	0.003735751632057241	0.05478067100933253	0.3294880551286375	1.9167354838391714E-4	0.001298101526340293
7	The-Dundies,annual	0.21729512959996838	2.0212650365880144E-4	3.4050158185890453E-4	0.013686322150031538	0.19288293352707528	0.21008043946010363	0.0013430231180616928	1.8374600202387967E-4	0.01825441708340002	0.0013142866712682608	0.08268400935480341	0.0038493069257048416	0.0024068887872762293	0.25169018689093814	0.003574933904170592	2.1174843965638367E-4
8	Sexual-Harassment,	0.3015249629478737	1.780697500169166E-4	0.006250890856891373	0.004122845706509406	3.2525084449531007E-4	0.2247497898415995	1.9135958513273428E-4	1.6187686451170328E-4	0.008147253728782384	0.01801878888885503	0.18095139152388778	0.009342084139942357	0.0011286057668031956	0.24157083172090155	0.0031494513342854094	1.8654649951168099E-4
9	Office-Olympics,	0.2665352011396391	1.9531014972932976E-4	3.2901877651926836E-4	0.0023463215934828143	0.001444586446787181	0.17471187321581697	0.15142039563170345	0.0034410856619107462	0.0013211387750824287	0.037168862517652064	0.13646359957126572	4.5595978696653017E-4	1.5003000216448915E-4	0.20839133419079758	0.0012786848917595017	0.01434659764872277
10	The-Fire,sure	0.2460827017191309	1.9811184547595336E-4	3.337385031080341E-4	1.7307849155118868E-4	3.6185845737109646E-4	0.1584594333468209	0.03000605752936007	1.800964193257293E-4	0.006857342180528896	0.00570198365836298	0.13842115009804384	0.007083202697716869	0.09504891417847369	0.3029670585304645	0.007917729674711224	2.0754266955407778E-4
11	Halloween,happy	0.33481135639912546	2.1017135584006425E-4	3.540539109397314E-4	0.017742912068259023	0.005066365030266963	0.2547310825038387	2.258570220743177E-4	1.910592904765183E-4	2.510447486459872E-4	0.002537216554131743	0.0613919047692597	0.12925883851805905	0.0013320656888405188	0.1551813196828696	0.03532395634197035	0.0013907961154022825
12	The-Fight-(The-Office),desk	0.3066226756761469	0.02253107466943058	3.553016805505399E-4	1.8426126545963218E-4	0.013307437904726471	0.17927036393814502	0.015498343209313628	1.9173262854496799E-4	0.008475147297039137	0.007245139908796446	0.12739400680184007	0.04865694452338813	1.6201480190879735E-4	0.2532320835955109	0.009604047484488584	0.007269424614710097
13	The-Client,left	0.3230328098130478	2.1165798206426676E-4	0.0027143585232412082	1.8491294234548118E-4	0.061689407390956706	0.20112459172468142	0.02026875669969733	0.00490801122361415	0.025009723083363546	1.9736305648124786E-4	0.13020236148002112	0.012283125726985861	0.027277290641430512	0.1904670829275807	2.068131343653131E-4	2.2173365012330363E-4
14	Performance-Review,even	0.286531100615094	0.001206999843482339	0.0013327728202162641	1.605038232975036E-4	3.3556836196148846E-4	0.2492750246454717	1.9742984104549364E-4	1.6701187770301807E-4	0.014545387145772548	1.7131048125196602E-4	0.2982291557228563	0.03522046650387336	1.4112567322428703E-4	0.09574166282653852	0.016552015742159615	1.924640760515751E-4
15	E-mail-Surveillance,morning	0.34813124032114673	0.010242182598177291	3.374622313563035E-4	0.09501480131581726	0.08181654055656526	0.17138508644424386	2.1527290698298014E-4	0.012455490672814602	2.3928028594147704E-4	0.001302555219587263	0.0763671525056434	0.02166714371559906	1.5388015187593567E-4	0.18026631579343957	1.957369284849273E-4	2.0985835232409839E-4
